종목코드,종목명,마지막행_날짜,마지막행_상태,직전30일_정지행수,상장폐지일,분류
150440,?,2024-03-20,normal,14,2024-03-21,정상거래에서 급정지 → 상폐
115960,연우,2024-03-05,susp,16,2024-03-06,정지행으로 종료 → 상폐
001880,DL건설,2024-02-29,susp,14,2024-03-04,정지행으로 종료 → 상폐
183410,?,2024-02-21,susp,17,2024-02-22,정지행으로 종료 → 상폐
372290,하나머스트7호스팩,2024-02-16,susp,18,2024-02-19,정지행으로 종료 → 상폐
426550,IBKS제19호스팩,2024-02-14,susp,17,2024-02-15,정지행으로 종료 → 상폐
114120,크루셜텍,2024-02-14,normal,13,2024-02-15,정상거래에서 급정지 → 상폐
427950,하나금융23호스팩,2024-01-31,susp,14,2024-02-01,정지행으로 종료 → 상폐
068400,SK렌터카,2024-01-30,susp,13,2024-01-31,정지행으로 종료 → 상폐
377400,하이제6호스팩,2024-01-24,susp,14,2024-01-25,정지행으로 종료 → 상폐
380320,삼성머스트스팩5호,2024-01-22,normal,1,2024-01-23,정상거래에서 급정지 → 상폐
091990,셀트리온헬스케어,2024-01-11,susp,16,2024-01-12,정지행으로 종료 → 상폐
404950,DB금융스팩10호,2024-01-03,susp,16,2024-01-04,정지행으로 종료 → 상폐
141020,디에스앤엘,2024-01-02,normal,12,2024-01-03,정상거래에서 급정지 → 상폐
